Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,2019,205,60,45,-7,9,42,221,14,34,86
Ma vie,Dadju,francoton,2019,201,50,51,-8,16,32,209,26,5,87
Oui ou non,Angèle,belgian pop,2019,200,57,65,-8,16,36,197,17,9,78
Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,sertanejo universitario,2019,196,90,39,-4,91,47,182,45,4,82
Mit Dir,Loredana,kosovan pop,2019,196,53,75,-6,6,64,158,17,9,76
Ela Vem,MC G15,brega funk,2019,185,63,62,-7,7,59,197,18,8,93
Atrévete,Nicky Jam,latin,2019,184,68,55,-4,12,59,198,17,10,73
Si Supieras,Daddy Yankee,latin,2019,184,89,69,-2,10,62,242,58,3,64
Hola - Remix,Dalex,latin,2019,182,67,65,-6,8,34,250,32,4,71
Una Vida Para Recordar,Piso 21,colombian pop,2019,182,78,70,-3,12,48,215,77,6,80
Bandit (with YoungBoy Never Broke Again),Juice WRLD,chicago rap,2019,180,63,47,-6,13,43,189,46,8,92
fuck 3x,tha Supreme,trap italiana,2019,180,81,66,-5,11,69,161,11,3,83
Some que ele vem atrás,Anitta,baile pop,2019,180,80,65,-6,38,60,195,82,2,59
Hanya Rindu,Andmesh,indonesian pop,2019,179,16,28,-12,11,20,252,76,6,76
Alocao (With Bad Gyal),Omar Montes,trap espanol,2019,178,75,67,-5,11,70,209,29,10,77
Callaita,Bad Bunny,latin,2019,176,62,61,-5,24,24,251,47,31,89
Dulce Pecado,Jessi Uribe,colombian pop,2019,176,51,64,-4,13,77,175,67,11,71
Infeliz,Arcangel,latin,2019,176,80,71,-3,25,72,221,80,4,81
LA CANCIÓN,J Balvin,latin,2019,176,65,75,-6,11,43,243,8,5,68
Otro Trago,Sech,panamanian pop,2019,176,70,75,-5,11,62,226,5,15,99
Otro Trago - Remix,Sech,panamanian pop,2019,176,79,73,-2,6,76,288,92,3,84
Quizas,Rich Music LTD,reggaeton,2019,176,82,73,-2,23,68,216,9,13,90
Te Quemaste,Manuel Turizo,colombian pop,2019,176,77,73,-2,29,72,199,63,2,74
Zorra,Bad Gyal,rap catalan,2019,176,65,64,-7,8,74,186,68,19,76
8 Parche,Baani Sandhu,punjabi pop,2019,174,86,65,-2,20,73,210,7,6,49
Desconocidos,Mau y Ricky,latin,2019,174,75,72,-5,21,68,205,31,3,71
KEIN SCHLAF,Nimo,german hip hop,2019,174,70,61,-6,12,43,200,21,6,78
La Cama,Lunay,latin,2019,174,90,70,-3,18,82,189,16,20,81
Perreo en La Luna,Rich Music LTD,reggaeton,2019,174,76,71,-4,37,72,219,38,19,70
Quem Traiu Levou - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,174,96,59,-2,32,83,154,29,12,82
SENTADÃO,Pedro Sampaio,baile pop,2019,174,87,68,-2,22,92,143,5,5,50
Si Te Vas,Sech,panamanian pop,2019,174,64,73,-4,14,55,205,13,3,83
Adan y Eva,Paulo Londra,argentine hip hop,2019,172,71,77,-4,7,72,257,90,10,98
"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,172,59,31,-5,32,35,372,16,3,68
Detente,Mike Bahía,colombian pop,2019,172,59,74,-5,11,36,182,31,17,61
Piensan,Myke Towers,latin,2019,172,72,68,-4,11,79,173,5,12,95
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,171,80,51,-4,9,35,202,2,8,56
Amor a Primera Vista,Los Angeles Azules,grupera,2019,170,76,66,-6,41,95,221,2,21,47
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,170,71,74,-4,8,83,259,16,3,73
Heartless,The Weeknd,canadian contemporary r&b,2019,170,75,53,-6,12,20,200,40,19,75
Hit Contagiante,Felipe Original,brega funk,2019,170,68,82,-7,9,96,137,28,4,75
On My Way,Alan Walker,electro house,2019,170,69,51,-5,30,30,194,2,5,85
Pa Mí - Remix,Dalex,latin,2019,170,62,69,-8,16,73,361,62,5,81
"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,2019,170,69,52,-4,12,48,227,15,15,45
sw1n6o - feat. Salmo,tha Supreme,trap italiana,2019,170,83,57,-6,79,79,184,53,4,55
Bâtiment,Niska,french hip hop,2019,168,70,66,-7,7,65,211,0,15,73
Bellaquita,Dalex,latin,2019,166,70,58,-4,17,77,205,89,3,65
Bellaquita - Remix,Dalex,latin,2019,166,72,80,-4,18,76,305,45,3,82
Fingindo Maturidade - Ao Vivo,Mano Walter,forro,2019,166,92,58,-3,94,74,189,90,6,91
m8nstar,tha Supreme,trap italiana,2019,165,76,58,-6,11,44,165,45,6,83
CANGURO,WOS,argentine indie,2019,164,75,60,-4,67,93,197,1,27,74
Shukumei,Official HIGE DANdism,anime rock,2019,164,58,55,-6,11,49,281,25,6,86
Tal Vez,Paulo Londra,argentine hip hop,2019,162,65,86,-2,8,74,264,74,4,69
Tutto Questo Sei Tu,Ultimo,italian pop,2019,162,51,45,-6,11,42,245,50,3,43
ANSIA NO,FSK SATELLITE,italian hip hop,2019,160,68,82,-7,22,71,149,22,9,83
Dois Lados,Wesley Safadão,forro,2019,160,85,66,-4,10,93,147,20,6,74
KARMA,Nimo,german hip hop,2019,160,64,69,-6,33,53,255,0,5,52
Kumau Dia,Andmesh,indonesian pop,2019,158,51,47,-9,32,60,256,43,4,81
Soldi in Nero - feat. Sfera Ebbasta,Shiva,italian hip hop,2019,158,66,75,-5,17,35,184,7,11,39
Machigaisagashi,Masaki Suda,anime rock,2019,156,64,53,-6,39,44,224,62,3,71
Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,154,80,60,-4,74,68,160,67,11,56
Mortel,Koba LaD,french hip hop,2019,154,69,58,-6,10,66,204,19,6,61
Stand By You,Official HIGE DANdism,anime rock,2019,154,87,61,-5,28,63,256,92,3,89
Surtada - Remix Brega Funk,Dadá Boladão,brega funk,2019,154,55,83,-7,18,88,153,89,4,78
Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,152,87,53,-3,33,71,182,97,3,71
Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,152,93,79,-5,95,81,173,43,9,75
Côte Ouest,47ter,french hip hop,2019,152,59,77,-8,18,58,233,64,4,92
Mayday (feat. Ninho),SCH,french hip hop,2019,152,60,61,-8,9,25,210,74,3,71
Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,150,84,89,-2,6,96,120,6,4,45
Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,150,73,83,-3,2,61,158,48,5,82
Gaiola É o Troco,MC Du Black,funk carioca,2019,150,84,72,-3,11,85,187,16,17,82
Goodbyes (feat. Young Thug),Post Malone,dfw rap,2019,150,65,55,-4,10,16,175,5,5,37
Jamais,Mister V,french hip hop,2019,150,67,64,-7,11,79,192,2,9,61
Mimpi (feat. Alif),K-Clique,malaysian indie,2019,150,73,83,-7,10,87,253,5,31,82
Quando a vontade bater (Participação especial de PK Delas),Pk,brazilian edm,2019,150,70,62,-6,15,70,166,26,40,82
Si por mi fuera,Beret,spanish hip hop,2019,150,75,70,-6,10,88,209,12,9,78
A Dónde Vamos,Morat,colombian pop,2019,149,61,63,-13,23,96,203,18,5,63
200 km/h,Apache 207,german hip hop,2019,148,67,90,-6,11,41,163,20,6,63
Street,Maes,french hip hop,2019,148,30,66,-20,21,49,185,1,7,80
My Only Wish (This Year),Britney Spears,dance pop,2019,147,73,67,-7,20,68,255,54,25,82
Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,146,85,49,-3,21,55,159,36,4,81
Like It's Christmas,Jonas Brothers,boy band,2019,146,57,73,-6,5,61,201,16,7,60
Tutu,Camilo,colombian pop,2019,146,83,73,-3,7,94,179,35,12,81
Bossoli,Shiva,italian hip hop,2019,145,66,83,-8,14,80,179,5,3,96
Into the Unknown,Idina Menzel,hollywood,2019,145,41,32,-9,14,27,195,16,34,75
